,day,dteday_x,season,yr,mnth,holiday,weekday,workingday,casual,registered,cnt,dteday_y,weathersit,temp_celsius,windspeed_kh,atemp,hum
0,1,01/01/2011,1,0,1,0,6,0,331,654,985,01/01/2011,2,14.110847,10.749882,0.363625,80.5833
1,2,02/01/2011,1,0,1,0,0,0,131,670,801,02/01/2011,2,14.902598,16.652113,0.353739,69.6087
2,3,03/01/2011,1,0,1,0,1,1,120,1229,1349,03/01/2011,1,8.050924,16.636703,0.189405,43.7273
3,4,04/01/2011,1,0,1,0,2,1,108,1454,1562,04/01/2011,1,8.2,10.739832,0.212122,59.0435
4,5,05/01/2011,1,0,1,0,3,1,82,1518,1600,05/01/2011,1,9.305237,12.5223,0.22927,43.6957
5,6,06/01/2011,1,0,1,0,4,1,88,1518,1606,06/01/2011,1,8.378268,6.0008684,0.233209,51.8261
6,7,07/01/2011,1,0,1,0,5,1,148,1362,1510,07/01/2011,2,8.057402,11.304642,0.208839,49.8696
7,8,08/01/2011,1,0,1,0,6,0,68,891,959,08/01/2011,2,6.765,17.875868,0.162254,53.5833
8,9,09/01/2011,1,0,1,0,0,0,54,768,822,09/01/2011,1,5.671653,24.25065,0.116175,43.4167
9,10,10/01/2011,1,0,1,0,1,1,41,1280,1321,10/01/2011,1,6.184153,14.958889,0.150888,48.2917
10,11,11/01/2011,1,0,1,0,2,1,43,1220,1263,11/01/2011,2,6.932731,8.182844,0.191464,68.6364
11,12,12/01/2011,1,0,1,0,3,1,25,1137,1162,12/01/2011,1,7.081807,20.410009,0.160473,59.9545
12,13,13/01/2011,1,0,1,0,4,1,38,1368,1406,13/01/2011,1,6.765,20.167,0.150883,47.0417
13,14,14/01/2011,1,0,1,0,5,1,54,1367,1421,14/01/2011,1,6.59567,8.478716,0.188413,53.7826
14,15,15/01/2011,1,0,1,0,6,0,222,1026,1248,15/01/2011,2,9.566653,10.583521,0.248112,49.875
15,16,16/01/2011,1,0,1,0,0,0,251,953,1204,16/01/2011,1,9.498347,12.625011,0.234217,48.375
16,17,17/01/2011,1,0,1,1,1,0,117,883,1000,17/01/2011,2,7.209153,12.999139,0.176771,53.75
17,18,18/01/2011,1,0,1,0,2,1,9,674,683,18/01/2011,2,8.883347,9.833925,0.232333,86.1667
18,19,19/01/2011,1,0,1,0,3,1,78,1572,1650,19/01/2011,2,11.979134,13.957239,0.298422,74.1739
19,20,20/01/2011,1,0,1,0,4,1,83,1844,1927,20/01/2011,2,10.728347,13.125568,0.25505,53.8333
20,21,21/01/2011,1,0,1,0,5,1,75,1468,1543,21/01/2011,1,7.2775,23.667214,0.157833,45.7083
21,22,22/01/2011,1,0,1,0,6,0,93,888,981,22/01/2011,1,2.4243464,11.52199,0.0790696,40.0
22,23,23/01/2011,1,0,1,0,0,0,150,836,986,23/01/2011,1,3.9573897,16.5222,0.0988391,43.6522
23,24,24/01/2011,1,0,1,0,1,1,86,1330,1416,24/01/2011,1,3.9930433,10.60811,0.11793,49.1739
24,25,25/01/2011,1,0,1,0,2,1,186,1799,1985,25/01/2011,2,9.162598,8.696332,0.234526,61.6957
25,26,26/01/2011,1,0,1,0,3,1,34,472,506,26/01/2011,3,8.9175,19.68795,0.2036,86.25
26,27,27/01/2011,1,0,1,0,4,1,15,416,431,27/01/2011,1,7.995,7.627079,0.2197,68.75
27,28,28/01/2011,1,0,1,0,5,1,38,1129,1167,28/01/2011,2,8.342598,8.2611,0.223317,79.3043
28,29,29/01/2011,1,0,1,0,6,0,123,975,1098,29/01/2011,1,8.057402,9.739455,0.212126,65.1739
29,30,30/01/2011,1,0,1,0,0,0,140,956,1096,30/01/2011,1,8.877402,4.9568342,0.250322,72.2174
30,31,31/01/2011,1,0,1,0,1,1,42,1459,1501,31/01/2011,2,7.414153,12.541864,0.18625,60.375
31,32,01/02/2011,1,0,2,0,2,1,47,1313,1360,01/02/2011,2,7.879134,3.565271,0.23453,82.9565
32,33,02/02/2011,1,0,2,0,3,1,72,1454,1526,02/02/2011,2,10.66,17.708636,0.254417,77.5417
33,34,03/02/2011,1,0,2,0,4,1,61,1489,1550,03/02/2011,1,7.665237,18.609384,0.177878,43.7826
34,35,04/02/2011,1,0,2,0,5,1,88,1620,1708,04/02/2011,2,8.663464,8.565213,0.228587,58.5217
35,36,05/02/2011,1,0,2,0,6,0,100,905,1005,05/02/2011,2,9.566653,10.792293,0.243058,92.9167
36,37,06/02/2011,1,0,2,0,0,0,354,1269,1623,06/02/2011,1,11.719153,9.5006,0.291671,56.8333
37,38,07/02/2011,1,0,2,0,1,1,120,1592,1712,07/02/2011,1,11.138347,3.0423561,0.303658,73.8333
38,39,08/02/2011,1,0,2,0,2,1,64,1466,1530,08/02/2011,1,9.054153,24.25065,0.198246,53.7917
39,40,09/02/2011,1,0,2,0,3,1,53,1552,1605,09/02/2011,2,5.526103,12.652213,0.144283,49.4783
40,41,10/02/2011,1,0,2,0,4,1,47,1491,1538,10/02/2011,1,5.918268,14.869645,0.149548,43.7391
41,42,11/02/2011,1,0,2,0,5,1,149,1597,1746,11/02/2011,1,7.752731,7.27285,0.213509,50.6364
42,43,12/02/2011,1,0,2,0,6,0,288,1184,1472,12/02/2011,1,9.1225,13.625589,0.232954,54.4167
43,44,13/02/2011,1,0,2,0,0,0,397,1192,1589,13/02/2011,1,12.977402,17.479161,0.324113,45.7391
44,45,14/02/2011,1,0,2,0,1,1,208,1705,1913,14/02/2011,1,17.015,27.999836,0.39835,37.5833
45,46,15/02/2011,1,0,2,0,2,1,140,1675,1815,15/02/2011,1,10.909567,19.522058,0.254274,31.4348
46,47,16/02/2011,1,0,2,0,3,1,218,1897,2115,16/02/2011,1,13.048701,16.869997,0.3162,42.3478
47,48,17/02/2011,1,0,2,0,4,1,259,2216,2475,17/02/2011,1,17.869153,15.416968,0.428658,50.5
48,49,18/02/2011,1,0,2,0,5,1,579,2348,2927,18/02/2011,1,21.388347,17.749975,0.511983,51.6667
49,50,19/02/2011,1,0,2,0,6,0,532,1103,1635,19/02/2011,1,16.365847,34.000021,0.391404,18.7917
50,51,20/02/2011,1,0,2,0,0,0,639,1173,1812,20/02/2011,1,11.693897,14.956745,0.27733,40.7826
51,52,21/02/2011,1,0,2,1,1,0,195,912,1107,21/02/2011,2,12.436653,20.625682,0.284075,60.5
52,53,22/02/2011,1,0,2,0,2,1,74,1376,1450,22/02/2011,1,7.471102,13.110761,0.186033,57.7778
53,54,23/02/2011,1,0,2,0,3,1,139,1778,1917,23/02/2011,1,9.091299,6.305571,0.245717,42.3043
54,55,24/02/2011,1,0,2,0,4,1,100,1707,1807,24/02/2011,2,12.121732,16.783232,0.289191,69.7391
55,56,25/02/2011,1,0,2,0,5,1,120,1341,1461,25/02/2011,2,14.938268,23.218113,0.350461,71.2174
56,57,26/02/2011,1,0,2,0,6,0,424,1545,1969,26/02/2011,1,11.5825,12.500257,0.282192,53.7917
57,58,27/02/2011,1,0,2,0,0,0,694,1708,2402,27/02/2011,1,14.082598,8.391616,0.351109,68.0
58,59,28/02/2011,1,0,2,0,1,1,81,1365,1446,28/02/2011,2,16.698193,19.408962,0.400118,87.6364
59,60,01/03/2011,1,0,3,0,2,1,137,1714,1851,01/03/2011,1,10.933347,14.500475,0.263879,53.5
60,61,02/03/2011,1,0,3,0,3,1,231,1903,2134,02/03/2011,1,13.735,20.624811,0.320071,44.9583
61,62,03/03/2011,1,0,3,0,4,1,123,1562,1685,03/03/2011,1,8.131653,15.125518,0.200133,31.8333
62,63,04/03/2011,1,0,3,0,5,1,214,1730,1944,04/03/2011,2,10.728347,13.624182,0.255679,61.0417
63,64,05/03/2011,1,0,3,0,6,0,640,1437,2077,05/03/2011,2,15.750847,16.875357,0.378779,78.9167
64,65,06/03/2011,1,0,3,0,0,0,114,491,605,06/03/2011,2,15.437402,23.000229,0.366252,94.8261
65,66,07/03/2011,1,0,3,0,1,1,244,1628,1872,07/03/2011,1,10.731299,22.870584,0.238461,55.1304
66,67,08/03/2011,1,0,3,0,2,1,316,1817,2133,08/03/2011,1,11.9925,8.08355,0.3024,42.0833
67,68,09/03/2011,1,0,3,0,3,1,191,1700,1891,09/03/2011,2,12.129153,14.75005,0.286608,77.5417
68,69,10/03/2011,1,0,3,0,4,1,46,577,623,10/03/2011,3,15.952731,17.545759,0.385668,0.0
69,70,11/03/2011,1,0,3,0,5,1,247,1730,1977,11/03/2011,2,12.977402,15.60899,0.305,64.9565
70,71,12/03/2011,1,0,3,0,6,0,724,1408,2132,12/03/2011,1,13.495847,14.791925,0.32575,59.4583
71,72,13/03/2011,1,0,3,0,0,0,982,1435,2417,13/03/2011,1,15.758268,18.130468,0.380091,52.7391
72,73,14/03/2011,1,0,3,0,1,1,359,1687,2046,14/03/2011,1,13.333897,9.174042,0.332,49.6957
73,74,15/03/2011,1,0,3,0,2,1,289,1767,2056,15/03/2011,2,13.013031,12.348703,0.318178,65.5652
74,75,16/03/2011,1,0,3,0,3,1,321,1871,2192,16/03/2011,2,14.973897,13.608839,0.36693,77.6522
75,76,17/03/2011,1,0,3,0,4,1,424,2320,2744,17/03/2011,1,17.015,14.041793,0.410333,60.2917
76,77,18/03/2011,1,0,3,0,5,1,884,2355,3239,18/03/2011,1,22.14,15.478139,0.527009,52.5217
77,78,19/03/2011,1,0,3,0,6,0,1424,1693,3117,19/03/2011,1,19.3725,24.667189,0.466525,37.9167
78,79,20/03/2011,1,0,3,0,0,0,1047,1424,2471,20/03/2011,1,13.6325,13.917307,0.32575,47.375
79,80,21/03/2011,2,0,3,0,1,1,401,1676,2077,21/03/2011,2,17.647835,19.348461,0.409735,73.7391
80,81,22/03/2011,2,0,3,0,2,1,460,2243,2703,22/03/2011,1,18.108347,15.12525,0.440642,62.4583
81,82,23/03/2011,2,0,3,0,3,1,203,1918,2121,23/03/2011,2,14.225237,15.695487,0.337939,83.9565
82,83,24/03/2011,2,0,3,0,4,1,166,1699,1865,24/03/2011,2,11.685,16.333729,0.270833,80.5833
83,84,25/03/2011,2,0,3,0,5,1,300,1910,2210,25/03/2011,1,10.830847,15.458575,0.256312,49.5
84,85,26/03/2011,2,0,3,0,6,0,981,1515,2496,26/03/2011,1,10.899153,14.041257,0.257571,39.4167
85,86,27/03/2011,2,0,3,0,0,0,472,1221,1693,27/03/2011,2,10.374763,12.3481,0.250339,49.3913
86,87,28/03/2011,2,0,3,0,1,1,222,1806,2028,28/03/2011,1,10.838268,14.217668,0.257574,30.2174
87,88,29/03/2011,2,0,3,0,2,1,317,2108,2425,29/03/2011,1,12.4025,15.208732,0.292908,31.4167
88,89,30/03/2011,2,0,3,0,3,1,168,1368,1536,30/03/2011,2,12.3,11.583496,0.29735,64.6667
89,90,31/03/2011,2,0,3,0,4,1,179,1506,1685,31/03/2011,3,11.001653,14.582282,0.257575,91.8333
90,91,01/04/2011,2,0,4,0,5,1,307,1920,2227,01/04/2011,2,12.3,17.333436,0.283454,68.625
91,92,02/04/2011,2,0,4,0,6,0,898,1354,2252,02/04/2011,2,12.915,13.208782,0.315637,65.375
92,93,03/04/2011,2,0,4,0,0,0,1651,1598,3249,03/04/2011,1,15.511653,12.208271,0.378767,48.0
93,94,04/04/2011,2,0,4,0,1,1,734,2381,3115,04/04/2011,1,23.506653,25.833257,0.542929,42.625
94,95,05/04/2011,2,0,4,0,2,1,167,1628,1795,05/04/2011,2,16.980847,26.000489,0.39835,64.2083
95,96,06/04/2011,2,0,4,0,3,1,413,2395,2808,06/04/2011,1,16.024153,17.625221,0.387608,47.0833
96,97,07/04/2011,2,0,4,0,4,1,571,2570,3141,07/04/2011,1,17.9375,10.874904,0.433696,60.2917
97,98,08/04/2011,2,0,4,0,5,1,172,1299,1471,08/04/2011,2,13.769153,15.208464,0.324479,83.625
98,99,09/04/2011,2,0,4,0,6,0,879,1576,2455,09/04/2011,2,14.0425,8.916561,0.341529,87.75
99,100,10/04/2011,2,0,4,0,0,0,1188,1707,2895,10/04/2011,2,17.493347,9.833389,0.426737,85.75
100,101,11/04/2011,2,0,4,0,1,1,855,2493,3348,11/04/2011,2,24.421732,21.739758,0.565217,71.6956
101,102,12/04/2011,2,0,4,0,2,1,257,1777,2034,12/04/2011,2,20.6025,18.416893,0.493054,73.9167
102,103,13/04/2011,2,0,4,0,3,1,209,1953,2162,13/04/2011,2,16.9125,16.791339,0.417283,81.9167
103,104,14/04/2011,2,0,4,0,4,1,529,2738,3267,14/04/2011,1,19.1675,7.4169,0.462742,54.0417
104,105,15/04/2011,2,0,4,1,5,0,642,2484,3126,15/04/2011,1,18.313347,15.167125,0.441913,67.125
105,106,16/04/2011,2,0,4,0,6,0,121,674,795,16/04/2011,3,17.664153,22.834136,0.425492,88.8333
106,107,17/04/2011,2,0,4,0,0,0,1558,2186,3744,17/04/2011,1,18.723347,20.334232,0.445696,47.9583
107,108,18/04/2011,2,0,4,0,1,1,669,2760,3429,18/04/2011,1,21.0125,10.958989,0.503146,54.25
108,109,19/04/2011,2,0,4,0,2,1,409,2795,3204,19/04/2011,2,20.739153,10.584057,0.489258,66.5833
109,110,20/04/2011,2,0,4,0,3,1,613,3331,3944,20/04/2011,1,24.395,16.208975,0.564392,61.4167
110,111,21/04/2011,2,0,4,0,4,1,745,3444,4189,21/04/2011,1,18.825847,21.792286,0.453892,40.7083
111,112,22/04/2011,2,0,4,0,5,1,177,1506,1683,22/04/2011,2,13.803347,14.707907,0.321954,72.9583
112,113,23/04/2011,2,0,4,0,6,0,1462,2574,4036,23/04/2011,2,18.86,15.458575,0.450121,88.7917
113,114,24/04/2011,2,0,4,0,0,0,1710,2481,4191,24/04/2011,2,23.848347,12.875725,0.551763,81.0833
114,115,25/04/2011,2,0,4,0,1,1,773,3300,4073,25/04/2011,1,24.873347,12.417311,0.5745,77.6667
115,116,26/04/2011,2,0,4,0,2,1,678,3722,4400,26/04/2011,1,25.898347,21.8755,0.594083,72.9167
116,117,27/04/2011,2,0,4,0,3,1,547,3325,3872,27/04/2011,2,25.42,20.9174,0.575142,83.5417
117,118,28/04/2011,2,0,4,0,4,1,569,3489,4058,28/04/2011,2,25.3175,21.500836,0.578929,70.0833
118,119,29/04/2011,2,0,4,0,5,1,878,3717,4595,29/04/2011,1,20.91,16.084221,0.497463,45.7083
119,120,30/04/2011,2,0,4,0,6,0,1965,3347,5312,30/04/2011,1,19.3725,15.750025,0.464021,50.3333
120,121,01/05/2011,2,0,5,0,0,0,1138,2213,3351,01/05/2011,2,18.518347,7.125718,0.448204,76.2083
121,122,02/05/2011,2,0,5,0,1,1,847,3554,4401,02/05/2011,2,22.515847,12.291418,0.532833,73.0
122,123,03/05/2011,2,0,5,0,2,1,603,3848,4451,03/05/2011,2,25.283347,22.958689,0.582079,69.7083
123,124,04/05/2011,2,0,5,0,3,1,255,2378,2633,04/05/2011,2,16.980847,22.042732,0.40465,73.7083
124,125,05/05/2011,2,0,5,0,4,1,614,3819,4433,05/05/2011,1,18.825847,19.791264,0.441917,44.4167
125,126,06/05/2011,2,0,5,0,5,1,894,3714,4608,06/05/2011,1,19.645847,15.292482,0.474117,59.0
126,127,07/05/2011,2,0,5,0,6,0,1612,3102,4714,07/05/2011,1,21.32,10.75015,0.512621,54.125
127,128,08/05/2011,2,0,5,0,0,0,1401,2932,4333,08/05/2011,1,21.661653,5.0007125,0.518933,63.1667
128,129,09/05/2011,2,0,5,0,1,1,664,3698,4362,09/05/2011,1,21.8325,11.792,0.525246,58.875
129,130,10/05/2011,2,0,5,0,2,1,694,4109,4803,10/05/2011,1,21.8325,7.749957,0.522721,48.9167
130,131,11/05/2011,2,0,5,0,3,1,550,3632,4182,11/05/2011,1,22.2425,8.083014,0.5284,63.2917
131,132,12/05/2011,2,0,5,0,4,1,695,4169,4864,12/05/2011,1,21.935,12.707689,0.523363,74.75
132,133,13/05/2011,2,0,5,0,5,1,692,3413,4105,13/05/2011,2,21.0125,12.041575,0.4943,86.3333
133,134,14/05/2011,2,0,5,0,6,0,902,2507,3409,14/05/2011,2,21.354153,9.04165,0.500629,92.25
134,135,15/05/2011,2,0,5,0,0,0,1582,2971,4553,15/05/2011,2,23.0625,10.249593,0.536,86.7083
135,136,16/05/2011,2,0,5,0,1,1,773,3185,3958,16/05/2011,1,23.6775,8.500357,0.550512,78.7917
136,137,17/05/2011,2,0,5,0,2,1,678,3445,4123,17/05/2011,2,23.028347,18.582718,0.538529,83.7917
137,138,18/05/2011,2,0,5,0,3,1,536,3319,3855,18/05/2011,2,22.55,13.499964,0.527158,87.0
138,139,19/05/2011,2,0,5,0,4,1,735,3840,4575,19/05/2011,2,21.764153,7.250271,0.510742,82.9583
139,140,20/05/2011,2,0,5,0,5,1,909,4008,4917,20/05/2011,1,22.003347,8.375871,0.529042,71.9583
140,141,21/05/2011,2,0,5,0,6,0,2258,3547,5805,21/05/2011,1,24.7025,8.08355,0.571975,62.6667
141,142,22/05/2011,2,0,5,0,0,0,1576,3084,4660,22/05/2011,1,24.770847,9.916536,0.5745,74.9583
142,143,23/05/2011,2,0,5,0,1,1,836,3438,4274,23/05/2011,2,25.898347,15.667414,0.590296,81.0
143,144,24/05/2011,2,0,5,0,2,1,659,3833,4492,24/05/2011,2,27.06,13.875164,0.604813,74.0833
144,145,25/05/2011,2,0,5,0,3,1,740,4238,4978,25/05/2011,1,27.094153,10.333611,0.615542,69.625
145,146,26/05/2011,2,0,5,0,4,1,758,3919,4677,26/05/2011,1,29.041653,13.376014,0.654688,67.75
146,147,27/05/2011,2,0,5,0,5,1,871,3808,4679,27/05/2011,1,27.948347,16.125493,0.637008,65.375
147,148,28/05/2011,2,0,5,0,6,0,2001,2757,4758,28/05/2011,1,26.889153,15.416164,0.612379,72.9583
148,149,29/05/2011,2,0,5,0,0,0,2355,2433,4788,29/05/2011,1,27.3675,14.333846,0.61555,81.875
149,150,30/05/2011,2,0,5,1,1,0,1549,2549,4098,30/05/2011,1,30.066653,8.792075,0.671092,68.5
150,151,31/05/2011,2,0,5,0,2,1,673,3309,3982,31/05/2011,1,31.775,7.459043,0.725383,63.6667
151,152,01/06/2011,2,0,6,0,3,1,513,3461,3974,01/06/2011,2,31.330847,13.875164,0.720967,67.7083
152,153,02/06/2011,2,0,6,0,4,1,736,4232,4968,02/06/2011,1,29.315,19.583229,0.643942,30.5
153,154,03/06/2011,2,0,6,0,5,1,898,4414,5312,03/06/2011,1,25.42,16.959107,0.587133,35.4167
154,155,04/06/2011,2,0,6,0,6,0,1869,3473,5342,04/06/2011,1,26.035,8.250514,0.594696,45.625
155,156,05/06/2011,2,0,6,0,0,0,1685,3221,4906,05/06/2011,2,26.581653,9.292364,0.616804,65.25
156,157,06/06/2011,2,0,6,0,1,1,673,3875,4548,06/06/2011,1,27.811653,8.167032,0.621858,60.0
157,158,07/06/2011,2,0,6,0,2,1,763,4070,4833,07/06/2011,1,29.0075,12.583136,0.65595,59.7917
158,159,08/06/2011,2,0,6,0,3,1,676,3725,4401,08/06/2011,1,31.809153,9.166739,0.727279,62.2083
159,160,09/06/2011,2,0,6,0,4,1,563,3352,3915,09/06/2011,2,33.141653,10.042161,0.757579,56.8333
160,161,10/06/2011,2,0,6,0,5,1,815,3771,4586,10/06/2011,1,30.955,9.417118,0.703292,60.5
161,162,11/06/2011,2,0,6,0,6,0,1729,3237,4966,11/06/2011,1,29.725,10.37495,0.678038,65.4583
162,163,12/06/2011,2,0,6,0,0,0,1467,2993,4460,12/06/2011,1,28.3925,10.958989,0.643325,74.7917
163,164,13/06/2011,2,0,6,0,1,1,863,4157,5020,13/06/2011,1,26.035,20.45845,0.601654,49.4583
164,165,14/06/2011,2,0,6,0,2,1,727,4164,4891,14/06/2011,1,24.770847,18.041961,0.591546,50.7083
165,166,15/06/2011,2,0,6,0,3,1,769,4411,5180,15/06/2011,1,25.693347,11.250104,0.587754,47.1667
166,167,16/06/2011,2,0,6,0,4,1,545,3222,3767,16/06/2011,2,25.761653,13.833557,0.595346,68.8333
167,168,17/06/2011,2,0,6,0,5,1,863,3981,4844,17/06/2011,1,26.615847,9.582943,0.600383,73.5833
168,169,18/06/2011,2,0,6,0,6,0,1807,3312,5119,18/06/2011,1,28.563347,8.000336,0.643954,67.0417
169,170,19/06/2011,2,0,6,0,0,0,1639,3105,4744,19/06/2011,2,28.665847,6.834,0.645846,66.6667
170,171,20/06/2011,2,0,6,0,1,1,699,3311,4010,20/06/2011,2,26.035,10.416825,0.595346,74.625
171,172,21/06/2011,3,0,6,0,2,1,774,4061,4835,21/06/2011,2,27.914153,11.458675,0.637646,77.0417
172,173,22/06/2011,3,0,6,0,3,1,661,3846,4507,22/06/2011,1,30.066653,11.541554,0.693829,70.75
173,174,23/06/2011,3,0,6,0,4,1,746,4044,4790,23/06/2011,2,29.861653,15.999868,0.693833,70.3333
174,175,24/06/2011,3,0,6,0,5,1,969,4022,4991,24/06/2011,1,29.690847,14.875675,0.656583,57.3333
175,176,25/06/2011,3,0,6,0,6,0,1782,3420,5202,25/06/2011,1,28.495,14.041257,0.643313,48.3333
176,177,26/06/2011,3,0,6,0,0,0,1920,3385,5305,26/06/2011,1,27.88,6.3337311,0.637629,51.3333
177,178,27/06/2011,3,0,6,0,1,1,854,3854,4708,27/06/2011,2,27.9825,7.208396,0.637004,65.8333
178,179,28/06/2011,3,0,6,0,2,1,732,3916,4648,28/06/2011,1,30.510847,9.666961,0.692558,63.4167
179,180,29/06/2011,3,0,6,0,3,1,848,4377,5225,29/06/2011,1,29.861653,17.542007,0.654688,49.7917
180,181,30/06/2011,3,0,6,0,4,1,1027,4488,5515,30/06/2011,1,28.563347,12.415904,0.637008,43.4167
181,182,01/07/2011,3,0,7,0,5,1,1246,4116,5362,01/07/2011,1,29.6225,6.874736,0.652162,39.625
182,183,02/07/2011,3,0,7,0,6,0,2204,2915,5119,02/07/2011,1,30.271653,7.709154,0.667308,44.4583
183,184,03/07/2011,3,0,7,0,0,0,2282,2367,4649,03/07/2011,2,29.383347,15.333486,0.668575,68.25
