,day,dteday_x,season,yr,mnth,holiday,weekday,workingday,casual,registered,cnt,dteday_y,weathersit,temp_celsius,windspeed_kh,atemp,hum
184,185,04/07/2011,3,0,7,1,1,0,3065,2978,6043,04/07/2011,2,29.793347,5.4591064,0.665417,63.7917
185,186,05/07/2011,3,0,7,0,2,1,1031,3634,4665,05/07/2011,1,30.613347,8.459286,0.696338,59.0417
186,187,06/07/2011,3,0,7,0,3,1,784,3845,4629,06/07/2011,1,29.52,10.042161,0.685633,74.3333
187,188,07/07/2011,3,0,7,0,4,1,754,3838,4592,07/07/2011,1,30.75,10.6664,0.686871,65.125
188,189,08/07/2011,3,0,7,0,5,1,692,3348,4040,08/07/2011,2,29.075847,15.083643,0.670483,75.7917
189,190,09/07/2011,3,0,7,0,6,0,1988,3348,5336,09/07/2011,1,30.066653,11.250104,0.664158,60.9167
190,191,10/07/2011,3,0,7,0,0,0,1743,3138,4881,10/07/2011,1,30.6475,12.292557,0.690025,57.8333
191,192,11/07/2011,3,0,7,0,1,1,723,3363,4086,11/07/2011,1,31.2625,18.916579,0.729804,63.5833
192,193,12/07/2011,3,0,7,0,2,1,662,3596,4258,12/07/2011,1,32.560847,13.417018,0.739275,55.9167
193,194,13/07/2011,3,0,7,0,3,1,748,3594,4342,13/07/2011,1,30.613347,9.790911,0.689404,63.1667
194,195,14/07/2011,3,0,7,0,4,1,888,4196,5084,14/07/2011,1,27.914153,16.124689,0.635104,47.625
195,196,15/07/2011,3,0,7,0,5,1,1318,4220,5538,15/07/2011,1,27.196653,12.249811,0.624371,59.125
196,197,16/07/2011,3,0,7,0,6,0,2418,3505,5923,16/07/2011,1,28.153347,13.958914,0.638263,58.5
197,198,17/07/2011,3,0,7,0,0,0,2006,3296,5302,17/07/2011,1,29.485847,16.417211,0.669833,60.4167
198,199,18/07/2011,3,0,7,0,1,1,841,3617,4458,18/07/2011,1,30.613347,14.458868,0.703925,65.125
199,200,19/07/2011,3,0,7,0,2,1,752,3789,4541,19/07/2011,1,31.843347,8.7502,0.747479,65.0417
200,201,20/07/2011,3,0,7,0,3,1,644,3688,4332,20/07/2011,1,31.501653,7.625739,0.74685,70.7083
201,202,21/07/2011,3,0,7,0,4,1,632,3152,3784,21/07/2011,2,33.415,14.875407,0.826371,69.125
202,203,22/07/2011,3,0,7,0,5,1,562,2825,3387,22/07/2011,1,34.781653,8.9177,0.840896,58.0417
203,204,23/07/2011,3,0,7,0,6,0,987,2298,3285,23/07/2011,1,34.815847,8.791807,0.804287,50.0
204,205,24/07/2011,3,0,7,0,0,0,1050,2556,3606,24/07/2011,1,34.03,11.334457,0.794829,55.0833
205,206,25/07/2011,3,0,7,0,1,1,568,3272,3840,25/07/2011,1,30.476653,6.0841561,0.720958,75.7083
206,207,26/07/2011,3,0,7,0,2,1,750,3840,4590,26/07/2011,1,31.638347,13.417286,0.696979,54.0833
207,208,27/07/2011,3,0,7,0,3,1,755,3901,4656,27/07/2011,1,31.775,12.292021,0.690667,40.2917
208,209,28/07/2011,3,0,7,0,4,1,606,3784,4390,28/07/2011,1,31.945847,11.958093,0.7399,58.3333
209,210,29/07/2011,3,0,7,0,5,1,670,3176,3846,29/07/2011,1,34.371653,11.667246,0.785967,54.25
210,211,30/07/2011,3,0,7,0,6,0,1559,2916,4475,30/07/2011,1,32.970847,11.291979,0.728537,46.5833
211,212,31/07/2011,3,0,7,0,0,0,1524,2778,4302,31/07/2011,1,33.039153,11.042471,0.729796,48.0833
212,213,01/08/2011,3,0,8,0,1,1,729,3537,4266,01/08/2011,1,31.638347,10.500039,0.703292,55.0833
213,214,02/08/2011,3,0,8,0,2,1,801,4044,4845,02/08/2011,1,32.116653,13.79195,0.707071,49.125
214,215,03/08/2011,3,0,8,0,3,1,467,3107,3574,03/08/2011,2,29.998347,9.084061,0.679937,65.75
215,216,04/08/2011,3,0,8,0,4,1,799,3777,4576,04/08/2011,2,29.11,13.20905,0.664788,75.75
216,217,05/08/2011,3,0,8,0,5,1,1023,3843,4866,05/08/2011,1,29.144153,12.374632,0.656567,63.0833
217,218,06/08/2011,3,0,8,0,6,0,1521,2773,4294,06/08/2011,2,29.383347,15.29275,0.676154,75.5
218,219,07/08/2011,3,0,8,0,0,0,1298,2487,3785,07/08/2011,1,30.4425,13.499629,0.715292,75.2917
219,220,08/08/2011,3,0,8,0,1,1,846,3480,4326,08/08/2011,1,31.365,12.875725,0.703283,59.2083
220,221,09/08/2011,3,0,8,0,2,1,907,3695,4602,09/08/2011,1,31.775,10.125107,0.724121,57.0417
221,222,10/08/2011,3,0,8,0,3,1,884,3896,4780,10/08/2011,1,31.433347,13.417286,0.684983,42.4167
222,223,11/08/2011,3,0,8,0,4,1,812,3980,4792,11/08/2011,1,29.4175,11.041332,0.651521,42.375
223,224,12/08/2011,3,0,8,0,5,1,1051,3854,4905,12/08/2011,1,29.041653,8.416607,0.654042,41.5
224,225,13/08/2011,3,0,8,0,6,0,1504,2646,4150,13/08/2011,2,28.119153,14.167418,0.645858,72.9583
225,226,14/08/2011,3,0,8,0,0,0,1338,2482,3820,14/08/2011,2,27.743347,14.916411,0.624388,81.75
226,227,15/08/2011,3,0,8,0,1,1,775,3563,4338,15/08/2011,1,27.299153,13.999918,0.616167,71.2083
227,228,16/08/2011,3,0,8,0,2,1,721,4004,4725,16/08/2011,1,28.734153,15.834043,0.645837,57.8333
228,229,17/08/2011,3,0,8,0,3,1,668,4026,4694,17/08/2011,1,29.656653,9.625689,0.666671,57.5417
229,230,18/08/2011,3,0,8,0,4,1,639,3166,3805,18/08/2011,1,29.178347,15.624936,0.662258,65.4583
230,231,19/08/2011,3,0,8,0,5,1,797,3356,4153,19/08/2011,2,28.085,9.333636,0.633221,72.2917
231,232,20/08/2011,3,0,8,0,6,0,1914,3277,5191,20/08/2011,1,28.5975,6.999289,0.648996,67.4167
232,233,21/08/2011,3,0,8,0,0,0,1249,2624,3873,21/08/2011,1,29.144153,16.666518,0.675525,77.0
233,234,22/08/2011,3,0,8,0,1,1,833,3925,4758,22/08/2011,1,28.358347,18.54225,0.638254,47.0
234,235,23/08/2011,3,0,8,0,2,1,1281,4614,5895,23/08/2011,1,26.274153,9.833121,0.606067,45.5417
235,236,24/08/2011,3,0,8,0,3,1,949,4181,5130,24/08/2011,1,27.606653,16.958236,0.630692,60.5
236,237,25/08/2011,3,0,8,0,4,1,435,3107,3542,25/08/2011,2,28.050847,14.125811,0.645854,77.1667
237,238,26/08/2011,3,0,8,0,5,1,768,3893,4661,26/08/2011,1,28.7,5.6254875,0.659733,76.125
238,239,27/08/2011,3,0,8,0,6,0,226,889,1115,27/08/2011,2,27.88,25.166339,0.635556,85.0
239,240,28/08/2011,3,0,8,0,0,0,1415,2919,4334,28/08/2011,1,28.989419,20.412153,0.647959,56.1765
240,241,29/08/2011,3,0,8,0,1,1,729,3905,4634,29/08/2011,1,26.103347,10.708275,0.607958,55.4583
241,242,30/08/2011,3,0,8,0,2,1,775,4429,5204,30/08/2011,1,26.205847,8.375536,0.594704,54.8333
242,243,31/08/2011,3,0,8,0,3,1,688,4370,5058,31/08/2011,1,26.923347,5.5833311,0.611121,59.7917
243,244,01/09/2011,3,0,9,0,4,1,783,4332,5115,01/09/2011,1,26.855,9.500332,0.614921,63.9167
244,245,02/09/2011,3,0,9,0,5,1,875,3852,4727,02/09/2011,2,26.376653,9.375243,0.604808,72.7083
245,246,03/09/2011,3,0,9,0,6,0,1935,2549,4484,03/09/2011,1,27.435847,12.416775,0.633213,71.6667
246,247,04/09/2011,3,0,9,0,0,0,2521,2419,4940,04/09/2011,1,29.075847,13.833289,0.665429,74.2083
247,248,05/09/2011,3,0,9,1,1,0,1236,2115,3351,05/09/2011,2,27.606653,14.250632,0.625646,79.0417
248,249,06/09/2011,3,0,9,0,2,1,204,2506,2710,06/09/2011,3,22.14,23.044181,0.5152,88.6957
249,250,07/09/2011,3,0,9,0,3,1,118,1878,1996,07/09/2011,3,24.565847,6.5003936,0.544229,91.7083
250,251,08/09/2011,3,0,9,0,4,1,153,1689,1842,08/09/2011,3,25.990433,12.914116,0.555361,93.9565
251,252,09/09/2011,3,0,9,0,5,1,417,3127,3544,09/09/2011,2,26.65,8.333393,0.578946,89.7917
252,253,10/09/2011,3,0,9,0,6,0,1750,3595,5345,10/09/2011,1,27.06,10.291736,0.607962,75.375
253,254,11/09/2011,3,0,9,0,0,0,1633,3413,5046,11/09/2011,1,26.786653,7.708618,0.609229,71.375
254,255,12/09/2011,3,0,9,0,1,1,690,4023,4713,12/09/2011,1,26.418268,5.957171,0.60213,69.2174
255,256,13/09/2011,3,0,9,0,2,1,701,4062,4763,13/09/2011,1,26.684153,9.500868,0.603554,71.25
256,257,14/09/2011,3,0,9,0,3,1,647,4138,4785,14/09/2011,1,27.606653,11.2091,0.6269,69.7083
257,258,15/09/2011,3,0,9,0,4,1,428,3231,3659,15/09/2011,2,23.6775,18.166782,0.553671,70.9167
258,259,16/09/2011,3,0,9,0,5,1,742,4018,4760,16/09/2011,2,19.235847,11.000261,0.461475,59.0417
259,260,17/09/2011,3,0,9,0,6,0,1434,3077,4511,17/09/2011,2,20.158347,12.708225,0.478512,71.8333
260,261,18/09/2011,3,0,9,0,0,0,1353,2921,4274,18/09/2011,1,20.8075,11.958361,0.490537,69.5
261,262,19/09/2011,3,0,9,0,1,1,691,3848,4539,19/09/2011,2,22.515847,10.166714,0.529675,69.0
262,263,20/09/2011,3,0,9,0,2,1,438,3203,3641,20/09/2011,2,23.028347,9.041918,0.532217,88.125
263,264,21/09/2011,3,0,9,0,3,1,539,3813,4352,21/09/2011,2,24.395,6.4590814,0.550533,90.0
264,265,22/09/2011,3,0,9,0,4,1,555,4240,4795,22/09/2011,2,25.761653,8.584375,0.554963,90.2083
265,266,23/09/2011,4,0,9,0,5,1,258,2137,2395,23/09/2011,2,24.975847,5.2505689,0.522125,97.25
266,267,24/09/2011,4,0,9,0,6,0,1776,3647,5423,24/09/2011,2,24.873347,5.2516811,0.564412,86.25
267,268,25/09/2011,4,0,9,0,0,0,1544,3466,5010,25/09/2011,2,26.000847,3.3754064,0.572637,84.5
268,269,26/09/2011,4,0,9,0,1,1,684,3946,4630,26/09/2011,2,26.615847,7.4169,0.589042,84.8333
269,270,27/09/2011,4,0,9,0,2,1,477,3643,4120,27/09/2011,2,26.103347,7.917457,0.574525,88.5417
270,271,28/09/2011,4,0,9,0,3,1,480,3427,3907,28/09/2011,2,26.035,9.958143,0.575158,84.875
271,272,29/09/2011,4,0,9,0,4,1,653,4186,4839,29/09/2011,1,25.283347,11.583161,0.574512,69.9167
272,273,30/09/2011,4,0,9,0,5,1,830,4372,5202,30/09/2011,1,23.130847,13.833825,0.544829,64.75
273,274,01/10/2011,4,0,10,0,6,0,480,1949,2429,01/10/2011,2,16.81,19.583832,0.412863,75.375
274,275,02/10/2011,4,0,10,0,0,0,616,2302,2918,02/10/2011,2,14.623347,14.874871,0.345317,79.1667
275,276,03/10/2011,4,0,10,0,1,1,330,3240,3570,03/10/2011,2,15.750847,5.5841686,0.392046,76.0833
276,277,04/10/2011,4,0,10,0,2,1,486,3970,4456,04/10/2011,1,19.850847,13.792218,0.472858,71.0
277,278,05/10/2011,4,0,10,0,3,1,559,4267,4826,05/10/2011,1,22.071653,11.87575,0.527138,64.7917
278,279,06/10/2011,4,0,10,0,4,1,639,4126,4765,06/10/2011,1,20.260847,9.041918,0.480425,62.0833
279,280,07/10/2011,4,0,10,0,5,1,949,4036,4985,07/10/2011,1,20.944153,1.5002439,0.504404,68.4167
280,281,08/10/2011,4,0,10,0,6,0,2235,3174,5409,08/10/2011,1,21.388347,3.0420814,0.513242,70.125
281,282,09/10/2011,4,0,10,0,0,0,2397,3114,5511,09/10/2011,1,22.174153,4.25115,0.523983,72.75
282,283,10/10/2011,4,0,10,1,1,0,1514,3603,5117,10/10/2011,1,23.404153,2.8343814,0.542925,73.375
283,284,11/10/2011,4,0,10,0,2,1,667,3896,4563,11/10/2011,2,23.233347,9.583814,0.546096,80.875
284,285,12/10/2011,4,0,10,0,3,1,217,2199,2416,12/10/2011,3,22.276653,16.62605,0.517717,90.625
285,286,13/10/2011,4,0,10,0,4,1,290,2623,2913,13/10/2011,2,24.155847,9.499729,0.551804,89.6667
286,287,14/10/2011,4,0,10,0,5,1,529,3115,3644,14/10/2011,2,22.584153,15.000161,0.529675,71.625
287,288,15/10/2011,4,0,10,0,6,0,1899,3318,5217,15/10/2011,1,20.773347,17.291561,0.498725,48.3333
288,289,16/10/2011,4,0,10,0,0,0,1748,3293,5041,16/10/2011,1,20.978347,18.875039,0.503154,48.6667
289,290,17/10/2011,4,0,10,0,1,1,713,3857,4570,17/10/2011,1,21.900847,11.750393,0.510725,57.9583
290,291,18/10/2011,4,0,10,0,2,1,637,4111,4748,18/10/2011,2,21.8325,7.375829,0.522721,70.1667
291,292,19/10/2011,4,0,10,0,3,1,254,2170,2424,19/10/2011,3,22.211299,16.303713,0.513848,89.5217
292,293,20/10/2011,4,0,10,0,4,1,471,3724,4195,20/10/2011,1,19.509153,28.292425,0.466525,63.625
293,294,21/10/2011,4,0,10,0,5,1,676,3628,4304,21/10/2011,1,17.5275,14.833532,0.423596,57.4167
294,295,22/10/2011,4,0,10,0,6,0,1499,2809,4308,22/10/2011,1,17.3225,6.2086689,0.425492,62.9167
295,296,23/10/2011,4,0,10,0,0,0,1619,2762,4381,23/10/2011,1,17.288347,6.6673375,0.422333,74.125
296,297,24/10/2011,4,0,10,0,1,1,699,3488,4187,24/10/2011,1,18.996653,7.959064,0.457067,77.2083
297,298,25/10/2011,4,0,10,0,2,1,695,3992,4687,25/10/2011,1,19.338347,11.166086,0.463375,62.2917
298,299,26/10/2011,4,0,10,0,3,1,404,3490,3894,26/10/2011,2,19.850847,9.959014,0.472846,72.0417
299,300,27/10/2011,4,0,10,0,4,1,240,2419,2659,27/10/2011,2,19.27,13.250121,0.457046,81.2917
300,301,28/10/2011,4,0,10,0,5,1,456,3291,3747,28/10/2011,2,13.564153,15.375093,0.318812,58.5833
301,302,29/10/2011,4,0,10,0,6,0,57,570,627,29/10/2011,3,10.420847,23.541857,0.227913,88.25
302,303,30/10/2011,4,0,10,0,0,0,885,2446,3331,30/10/2011,1,13.085847,11.833339,0.321329,62.375
303,304,31/10/2011,4,0,10,0,1,1,362,3307,3669,31/10/2011,1,13.94,7.12545,0.356063,70.3333
304,305,01/11/2011,4,0,11,0,2,1,410,3658,4068,01/11/2011,1,16.434153,9.083257,0.397088,68.375
305,306,02/11/2011,4,0,11,0,3,1,370,3816,4186,02/11/2011,1,15.4775,5.5001439,0.390133,71.875
306,307,03/11/2011,4,0,11,0,4,1,318,3656,3974,03/11/2011,1,16.741653,9.166739,0.405921,70.2083
307,308,04/11/2011,4,0,11,0,5,1,470,3576,4046,04/11/2011,2,16.536653,18.209193,0.403392,62.25
308,309,05/11/2011,4,0,11,0,6,0,1156,2770,3926,05/11/2011,1,13.393347,12.667154,0.323854,51.9167
309,310,06/11/2011,4,0,11,0,0,0,952,2697,3649,06/11/2011,1,14.281653,6.1676314,0.362358,73.4583
310,311,07/11/2011,4,0,11,0,1,1,373,3662,4035,07/11/2011,1,16.195,3.834075,0.400871,75.875
311,312,08/11/2011,4,0,11,0,2,1,376,3829,4205,08/11/2011,1,16.741653,4.6255125,0.412246,72.1667
312,313,09/11/2011,4,0,11,0,3,1,305,3804,4109,09/11/2011,1,16.4,4.1671186,0.409079,75.8333
313,314,10/11/2011,4,0,11,0,4,1,190,2743,2933,10/11/2011,2,15.58,12.667489,0.373721,81.3333
314,315,11/11/2011,4,0,11,1,5,0,440,2928,3368,11/11/2011,1,13.290847,21.083225,0.306817,44.625
315,316,12/11/2011,4,0,11,0,6,0,1275,2792,4067,12/11/2011,1,14.623347,14.208154,0.357942,55.2917
316,317,13/11/2011,4,0,11,0,0,0,1004,2713,3717,13/11/2011,1,18.074153,18.875307,0.43055,45.8333
317,318,14/11/2011,4,0,11,0,1,1,595,3891,4486,14/11/2011,1,21.73,20.541932,0.524612,58.7083
318,319,15/11/2011,4,0,11,0,2,1,449,3746,4195,15/11/2011,2,21.73,13.375411,0.507579,68.875
319,320,16/11/2011,4,0,11,0,3,1,145,1672,1817,16/11/2011,3,18.723347,9.167543,0.451988,93.0
320,321,17/11/2011,4,0,11,0,4,1,139,2914,3053,17/11/2011,2,14.008347,20.459254,0.323221,57.5833
321,322,18/11/2011,4,0,11,0,5,1,245,3147,3392,18/11/2011,1,11.240847,11.291711,0.272721,41.0
322,323,19/11/2011,4,0,11,0,6,0,943,2720,3663,19/11/2011,1,13.495847,15.041232,0.324483,50.2083
323,324,20/11/2011,4,0,11,0,0,0,787,2733,3520,20/11/2011,2,18.996653,12.45865,0.457058,68.4583
324,325,21/11/2011,4,0,11,0,1,1,220,2545,2765,21/11/2011,3,18.3475,9.249618,0.445062,91.0
325,326,22/11/2011,4,0,11,0,2,1,69,1538,1607,22/11/2011,3,17.083347,7.959064,0.421696,96.25
326,327,23/11/2011,4,0,11,0,3,1,112,2454,2566,23/11/2011,2,18.074153,22.500275,0.430537,75.7917
327,328,24/11/2011,4,0,11,1,4,0,560,935,1495,24/11/2011,1,15.306653,11.209368,0.372471,54.9167
328,329,25/11/2011,4,0,11,0,5,1,1095,1697,2792,25/11/2011,1,15.375,6.6260186,0.380671,64.375
329,330,26/11/2011,4,0,11,0,6,0,1249,1819,3068,26/11/2011,1,15.409153,4.5841936,0.385087,68.1667
330,331,27/11/2011,4,0,11,0,0,0,810,2261,3071,27/11/2011,1,18.825847,13.999918,0.4558,69.8333
331,332,28/11/2011,4,0,11,0,1,1,253,3614,3867,28/11/2011,1,20.642598,9.522174,0.490122,74.3043
332,333,29/11/2011,4,0,11,0,2,1,96,2818,2914,29/11/2011,2,18.791653,17.292164,0.451375,83.0833
333,334,30/11/2011,4,0,11,0,3,1,188,3425,3613,30/11/2011,1,13.325,18.167586,0.311221,61.3333
334,335,01/12/2011,4,0,12,0,4,1,182,3545,3727,01/12/2011,1,12.8125,14.750586,0.305554,52.4583
335,336,02/12/2011,4,0,12,0,5,1,268,3672,3940,02/12/2011,1,12.880847,6.750518,0.331433,62.5833
336,337,03/12/2011,4,0,12,0,6,0,706,2908,3614,03/12/2011,1,12.265847,6.4174811,0.310604,61.2917
337,338,04/12/2011,4,0,12,0,0,0,634,2851,3485,04/12/2011,1,13.564153,5.6252061,0.3491,77.5833
338,339,05/12/2011,4,0,12,0,1,1,233,3578,3811,05/12/2011,2,15.819153,4.1679561,0.393925,82.7083
339,340,06/12/2011,4,0,12,0,2,1,126,2468,2594,06/12/2011,3,18.9625,15.583061,0.4564,94.9583
340,341,07/12/2011,4,0,12,0,3,1,50,655,705,07/12/2011,3,16.81,17.833725,0.400246,97.0417
341,342,08/12/2011,4,0,12,0,4,1,150,3172,3322,08/12/2011,1,10.899153,16.083886,0.256938,58.0
342,343,09/12/2011,4,0,12,0,5,1,261,3359,3620,09/12/2011,1,11.924153,5.5420189,0.317542,69.5833
343,344,10/12/2011,4,0,12,0,6,0,502,2688,3190,10/12/2011,1,11.275,15.625807,0.266412,50.75
344,345,11/12/2011,4,0,12,0,0,0,377,2366,2743,11/12/2011,1,9.054153,4.4582939,0.253154,49.0
345,346,12/12/2011,4,0,12,0,1,1,143,3167,3310,12/12/2011,1,9.771653,4.25115,0.270196,67.0833
346,347,13/12/2011,4,0,12,0,2,1,155,3368,3523,13/12/2011,1,11.5825,9.41685,0.301138,59.0
347,348,14/12/2011,4,0,12,0,3,1,178,3562,3740,14/12/2011,2,13.0175,4.0842061,0.338362,66.375
348,349,15/12/2011,4,0,12,0,4,1,181,3528,3709,15/12/2011,2,17.3225,17.958814,0.412237,63.4167
349,350,16/12/2011,4,0,12,0,5,1,178,3399,3577,16/12/2011,2,15.375,17.458525,0.359825,50.0417
350,351,17/12/2011,4,0,12,0,6,0,275,2464,2739,17/12/2011,2,10.591653,16.292189,0.249371,56.0833
351,352,18/12/2011,4,0,12,0,0,0,220,2211,2431,18/12/2011,1,9.771653,11.375193,0.245579,58.625
352,353,19/12/2011,4,0,12,0,1,1,260,3143,3403,19/12/2011,1,11.343347,11.584032,0.280933,63.75
353,354,20/12/2011,4,0,12,0,2,1,216,3534,3750,20/12/2011,2,15.819153,4.1252436,0.396454,59.5417
354,355,21/12/2011,1,0,12,0,3,1,107,2553,2660,21/12/2011,2,17.561653,14.8338,0.428017,85.8333
355,356,22/12/2011,1,0,12,0,4,1,227,2841,3068,22/12/2011,2,17.356653,3.167425,0.426121,75.75
356,357,23/12/2011,1,0,12,0,5,1,163,2046,2209,23/12/2011,1,15.306653,18.374482,0.377513,68.625
357,358,24/12/2011,1,0,12,0,6,0,155,856,1011,24/12/2011,1,12.4025,12.750368,0.299242,54.25
358,359,25/12/2011,1,0,12,0,0,0,303,451,754,25/12/2011,1,11.266103,10.391097,0.279961,68.1304
359,360,26/12/2011,1,0,12,1,1,0,430,887,1317,26/12/2011,1,13.191299,16.044155,0.315535,50.6957
360,361,27/12/2011,1,0,12,0,2,1,103,1059,1162,27/12/2011,2,13.325,12.62615,0.327633,76.25
361,362,28/12/2011,1,0,12,0,3,1,255,2047,2302,28/12/2011,1,12.26433,19.695387,0.279974,50.3913
362,363,29/12/2011,1,0,12,0,4,1,254,2169,2423,29/12/2011,1,10.181653,8.000604,0.263892,57.4167
363,364,30/12/2011,1,0,12,0,5,1,491,2508,2999,30/12/2011,1,12.778347,9.000579,0.318812,63.6667
364,365,31/12/2011,1,0,12,0,6,0,665,1820,2485,31/12/2011,1,16.81,14.750318,0.414121,61.5833
